"@timestamp","@version","_id","_index","_score","_type","agent.ephemeral_id","agent.hostname","agent.id","agent.type","agent.version","cloud.account.id","cloud.availability_zone","cloud.image.id","cloud.instance.id","cloud.machine.type","cloud.provider","cloud.region","destination.ip","destination.port","ecs.version","event.dataset","event.duration","event.module","host.architecture","host.containerized","host.hostname","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.platform","host.os.version","metricset.name","metricset.period","network.direction","network.iana_number","network.type","process.args","process.executable","process.name","process.pgid","process.pid","process.ppid","process.working_directory","server.ip","server.port","service.type","source.ip","source.port","system.core.id","system.core.idle.pct","system.core.iowait.pct","system.core.irq.pct","system.core.nice.pct","system.core.softirq.pct","system.core.steal.pct","system.core.system.pct","system.core.user.pct","system.cpu.cores","system.cpu.idle.pct","system.cpu.iowait.pct","system.cpu.irq.pct","system.cpu.nice.pct","system.cpu.softirq.pct","system.cpu.steal.pct","system.cpu.system.pct","system.cpu.total.pct","system.cpu.user.pct","system.diskio.io.time","system.diskio.iostat.await","system.diskio.iostat.busy","system.diskio.iostat.queue.avg_size","system.diskio.iostat.read.await","system.diskio.iostat.read.per_sec.bytes","system.diskio.iostat.read.request.merges_per_sec","system.diskio.iostat.read.request.per_sec","system.diskio.iostat.request.avg_size","system.diskio.iostat.service_time","system.diskio.iostat.write.await","system.diskio.iostat.write.per_sec.bytes","system.diskio.iostat.write.request.merges_per_sec","system.diskio.iostat.write.request.per_sec","system.diskio.name","system.diskio.read.bytes","system.diskio.read.count","system.diskio.read.time","system.diskio.write.bytes","system.diskio.write.count","system.diskio.write.time","system.fsstat.count","system.fsstat.total_files","system.fsstat.total_size.free","system.fsstat.total_size.total","system.fsstat.total_size.used","system.load.1","system.load.15","system.load.5","system.load.cores","system.load.norm.1","system.load.norm.15","system.load.norm.5","system.memory.actual.free","system.memory.actual.used.bytes","system.memory.actual.used.pct","system.memory.free","system.memory.hugepages.default_size","system.memory.hugepages.free","system.memory.hugepages.reserved","system.memory.hugepages.surplus","system.memory.hugepages.swap.out.fallback","system.memory.hugepages.swap.out.pages","system.memory.hugepages.total","system.memory.hugepages.used.bytes","system.memory.hugepages.used.pct","system.memory.swap.free","system.memory.swap.in.pages","system.memory.swap.out.pages","system.memory.swap.readahead.cached","system.memory.swap.readahead.pages","system.memory.swap.total","system.memory.swap.used.bytes","system.memory.swap.used.pct","system.memory.total","system.memory.used.bytes","system.memory.used.pct","system.network.in.bytes","system.network.in.dropped","system.network.in.errors","system.network.in.packets","system.network.name","system.network.out.bytes","system.network.out.dropped","system.network.out.errors","system.network.out.packets","system.process.cgroup.blkio.id","system.process.cgroup.blkio.path","system.process.cgroup.blkio.total.bytes","system.process.cgroup.blkio.total.ios","system.process.cgroup.cpu.cfs.period.us","system.process.cgroup.cpu.cfs.quota.us","system.process.cgroup.cpu.cfs.shares","system.process.cgroup.cpu.id","system.process.cgroup.cpu.path","system.process.cgroup.cpu.rt.period.us","system.process.cgroup.cpu.rt.runtime.us","system.process.cgroup.cpu.stats.periods","system.process.cgroup.cpu.stats.throttled.ns","system.process.cgroup.cpu.stats.throttled.periods","system.process.cgroup.cpuacct.id","system.process.cgroup.cpuacct.path","system.process.cgroup.cpuacct.stats.system.ns","system.process.cgroup.cpuacct.stats.user.ns","system.process.cgroup.cpuacct.total.ns","system.process.cgroup.id","system.process.cgroup.memory.id","system.process.cgroup.memory.kmem.failures","system.process.cgroup.memory.kmem.limit.bytes","system.process.cgroup.memory.kmem.usage.bytes","system.process.cgroup.memory.kmem.usage.max.bytes","system.process.cgroup.memory.kmem_tcp.failures","system.process.cgroup.memory.kmem_tcp.limit.bytes","system.process.cgroup.memory.kmem_tcp.usage.bytes","system.process.cgroup.memory.kmem_tcp.usage.max.bytes","system.process.cgroup.memory.mem.failures","system.process.cgroup.memory.mem.limit.bytes","system.process.cgroup.memory.mem.usage.bytes","system.process.cgroup.memory.mem.usage.max.bytes","system.process.cgroup.memory.memsw.failures","system.process.cgroup.memory.memsw.limit.bytes","system.process.cgroup.memory.memsw.usage.bytes","system.process.cgroup.memory.memsw.usage.max.bytes","system.process.cgroup.memory.path","system.process.cgroup.memory.stats.active_anon.bytes","system.process.cgroup.memory.stats.active_file.bytes","system.process.cgroup.memory.stats.cache.bytes","system.process.cgroup.memory.stats.hierarchical_memory_limit.bytes","system.process.cgroup.memory.stats.hierarchical_memsw_limit.bytes","system.process.cgroup.memory.stats.inactive_anon.bytes","system.process.cgroup.memory.stats.inactive_file.bytes","system.process.cgroup.memory.stats.major_page_faults","system.process.cgroup.memory.stats.mapped_file.bytes","system.process.cgroup.memory.stats.page_faults","system.process.cgroup.memory.stats.pages_in","system.process.cgroup.memory.stats.pages_out","system.process.cgroup.memory.stats.rss.bytes","system.process.cgroup.memory.stats.rss_huge.bytes","system.process.cgroup.memory.stats.swap.bytes","system.process.cgroup.memory.stats.unevictable.bytes","system.process.cgroup.path","system.process.cmdline","system.process.cpu.start_time","system.process.cpu.total.norm.pct","system.process.cpu.total.pct","system.process.cpu.total.value","system.process.fd.limit.hard","system.process.fd.limit.soft","system.process.fd.open","system.process.memory.rss.bytes","system.process.memory.rss.pct","system.process.memory.share","system.process.memory.size","system.process.state","system.process.summary.dead","system.process.summary.idle","system.process.summary.running","system.process.summary.sleeping","system.process.summary.stopped","system.process.summary.total","system.process.summary.unknown","system.process.summary.zombie","system.socket.local.ip","system.socket.local.port","system.socket.process.cmdline","system.socket.remote.ip","system.socket.remote.port","system.uptime.duration.ms",tags,"user.full_name","user.id","user.name"
"Jan 16, 2020 @ 13:24:15.546",1,jfGPrm8B0x4jmF2oY1MJ,"metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.cpu","171,072",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",cpu,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,1,"0.997",0,0,0,0,0,"0.001","0.003","0.002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:15.264",1,DfGPrm8B0x4jmF2oYlOy,"metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","167,584",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,docker0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:15.264",1,ifGPrm8B0x4jmF2oY1MJ,"metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","131,008",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,0,0,8,lo,648,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:15.264",1,ivGPrm8B0x4jmF2oY1MJ,"metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","173,636",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"428,488,052",0,0,"341,095",eth0,"29,382,056",0,0,"82,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:15.264",1,"i_GPrm8B0x4jmF2oY1MJ","metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","239,663",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,143,113",0,0,"60,488",vetha34eee3,"7,365,573",0,0,"46,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:15.264",1,jPGPrm8B0x4jmF2oY1MJ,"metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","244,370",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,296,281",0,0,"60,488","br-5b6c364547f9","7,364,357",0,0,"45,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:15.179",1,DPGPrm8B0x4jmF2oYlOy,"metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.memory","1,238,190",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",memory,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599,724,032","431,722,496","0.419","126,406,656","2,097,152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,031,446,528","905,039,872","0.877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:13.979",1,"C_GPrm8B0x4jmF2oYlOy","metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.diskio","245,210",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",diskio,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,"15,956",0,0,0,0,0,0,0,"8,192",0,0,"827.475",0,"0.101",xvda1,"336,166,912","9,899","7,300","2,199,132,672","29,752","947,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:13.979",1,iPGPrm8B0x4jmF2oY1MJ,"metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.diskio","280,985",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",diskio,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,"15,956",0,0,0,0,0,0,0,"8,192",0,0,"827.475",0,"0.101",xvda,"337,346,560","9,946","7,304","2,199,132,672","29,752","947,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:13.807",1,EPGPrm8B0x4jmF2oVlBv,"metricbeat-7.5.0",,"_doc","835758b3-9c3d-4afb-9fcc-bb46662886bf",HoneyServer,"c33293bd-2ff7-4990-9462-b1c42160b069",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0bcfcd010bf1179e6","t2.micro",aws,"us-east-1",,,"1.1.0","system.cpu","172,641",system,"x86_64",true,HoneyServer,HoneyServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",cpu,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,1,"0.998",0,0,0,0,0,"0.001","0.002","0.001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:13.579",1,ifGPrm8B0x4jmF2oVk8b,"metricbeat-7.5.0",,"_doc","835758b3-9c3d-4afb-9fcc-bb46662886bf",HoneyServer,"c33293bd-2ff7-4990-9462-b1c42160b069",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0bcfcd010bf1179e6","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","131,857",system,"x86_64",true,HoneyServer,HoneyServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,vethb697485,"2,432",0,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:13.579",1,ivGPrm8B0x4jmF2oVk8b,"metricbeat-7.5.0",,"_doc","835758b3-9c3d-4afb-9fcc-bb46662886bf",HoneyServer,"c33293bd-2ff7-4990-9462-b1c42160b069",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0bcfcd010bf1179e6","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","171,204",system,"x86_64",true,HoneyServer,HoneyServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"br-22039cbc2f80","1,216",0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:13.579",1,"i_GPrm8B0x4jmF2oVk8b","metricbeat-7.5.0",,"_doc","835758b3-9c3d-4afb-9fcc-bb46662886bf",HoneyServer,"c33293bd-2ff7-4990-9462-b1c42160b069",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0bcfcd010bf1179e6","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","253,711",system,"x86_64",true,HoneyServer,HoneyServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"789,091,637",0,0,"541,436",eth0,"8,432,783",0,0,"51,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:13.579",1,DvGPrm8B0x4jmF2oVlBv,"metricbeat-7.5.0",,"_doc","835758b3-9c3d-4afb-9fcc-bb46662886bf",HoneyServer,"c33293bd-2ff7-4990-9462-b1c42160b069",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0bcfcd010bf1179e6","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","165,758",system,"x86_64",true,HoneyServer,HoneyServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,0,0,8,lo,648,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:13.579",1,"D_GPrm8B0x4jmF2oVlBv","metricbeat-7.5.0",,"_doc","835758b3-9c3d-4afb-9fcc-bb46662886bf",HoneyServer,"c33293bd-2ff7-4990-9462-b1c42160b069",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0bcfcd010bf1179e6","t2.micro",aws,"us-east-1",,,"1.1.0","system.network","247,801",system,"x86_64",true,HoneyServer,HoneyServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",network,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"588,327",0,0,"8,403",docker0,"341,529,651",0,0,"13,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:12.481",1,"h_GPrm8B0x4jmF2oY1MJ","metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.load","98,918",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",load,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:11.189",1,iPGPrm8B0x4jmF2oVk8b,"metricbeat-7.5.0",,"_doc","835758b3-9c3d-4afb-9fcc-bb46662886bf",HoneyServer,"c33293bd-2ff7-4990-9462-b1c42160b069",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0bcfcd010bf1179e6","t2.micro",aws,"us-east-1",,,"1.1.0","system.diskio","255,759",system,"x86_64",true,HoneyServer,HoneyServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",diskio,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,"69,532",0,0,0,0,0,0,0,"5,120",0,0,"2,062.437",0,"0.403",xvda1,"1,850,425,344","62,671","32,204","5,709,929,984","124,067","1,661,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:11.189",1,DfGPrm8B0x4jmF2oVlBv,"metricbeat-7.5.0",,"_doc","835758b3-9c3d-4afb-9fcc-bb46662886bf",HoneyServer,"c33293bd-2ff7-4990-9462-b1c42160b069",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0bcfcd010bf1179e6","t2.micro",aws,"us-east-1",,,"1.1.0","system.diskio","271,602",system,"x86_64",true,HoneyServer,HoneyServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",diskio,"10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,"69,544",0,0,0,0,0,0,0,"5,120",0,0,"2,062.437",0,"0.403",xvda,"1,851,604,992","62,718","32,216","5,709,929,984","124,067","1,661,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,
"Jan 16, 2020 @ 13:24:10.482",1,DPGPrm8B0x4jmF2oVlBv,"metricbeat-7.5.0",,"_doc","835758b3-9c3d-4afb-9fcc-bb46662886bf",HoneyServer,"c33293bd-2ff7-4990-9462-b1c42160b069",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0bcfcd010bf1179e6","t2.micro",aws,"us-east-1",,,"1.1.0","system.process","726,307",system,"x86_64",true,HoneyServer,HoneyServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)",process,"10,000",,,,"[""metricbeat"",""-e"",""-strict.perms=false""]","/usr/share/metricbeat/metricbeat",metricbeat,1,1,0,"/usr/share/metricbeat",,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb,"/docker/7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb",0,0,0,0,0,7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb,"/docker/7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb",0,0,0,0,0,7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb,"/docker/7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb",0,0,0,7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb,7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"/docker/7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"/docker/7b0f6ba61ffff22f99630a46dd7d0b9de942005b241481184d20cfa863167ccb","metricbeat -e -strict.perms=false","Jan 16, 2020 @ 12:08:30.000","0.002","0.002","6,280","4,096","1,024",5,"75,145,216","0.073","55,570,432","570,175,488",sleeping,,,,,,,,,,,,,,,"[""beats_input_raw_event""]",,,root
"Jan 16, 2020 @ 13:24:09.079",1,CvGPrm8B0x4jmF2oYlOy,"metricbeat-7.5.0",,"_doc","03d299e2-b9c7-4b87-b9eb-5273a47b7162",BastionServer,"0c16f37c-30a1-4b49-bc2c-c80ed5b48acc",metricbeat,"7.5.0",972525406291,"us-east-1a","ami-062f7200baf2fa504","i-0f07e7e2f6218236a","t2.micro",aws,"us-east-1",,,"1.1.0","system.process.summary","206,950",system,"x86_64",true,BastionServer,BastionServer,Core,redhat,"4.14.154-128.181.amzn2.x86_64","CentOS Linux",centos,"7 (Core)","process_summary","10,000",,,,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,,,,,,,"[""beats_input_raw_event""]",,,
